UNIQUE_NUMBER,SPECIES,DEER_SEX,ESTIMATED_BIRTH_DATE,HOW_ADDED,ADDED_DATE,SOURCE_FACILITY,HOW_REMOVED,REMOVED_DATE,DESTINATION_FID,DESTINATION_TYPE,REPORTED_DEATH_DATE,CAUSE_OF_DEATH,FACILITY_WHERE_DEAD,POSTMORT_TEST_RESULT,POSTMORT_SMPL_CLLCTN_DATE,POSTMORT_TISSUE_TYPE,ANTEMORT_TEST_RESULT,ANTEMORT_SMPL_CLLCTN_DATE,ANTEMORT_FCLTY_WHERE_TESTED,ANTEMORT_TISSUE_TYPE
01NHJ,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NHK,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NHL,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,12/11/2023,,,12/11/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,12/11/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NHM,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/29/2024,24352R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NHN,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NHQ,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
01NHR,White-Tailed Deer,M,6/19/2022,Birth,6/19/2022,,Death,11/28/2023,,,11/28/2023,Pneumonia,10953B,Post-mortem Obex and RLN,11/29/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
01NHT,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/8/2024,20487R,R,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NHV,White-Tailed Deer,F,6/29/2021,Birth,6/29/2021,,Transferred,4/29/2024,4859BO,BO,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
01NQF,White-Tailed Deer,F,6/1/2020,Transferred,2/25/2021,1689B,Transferred,3/29/2022,12014B,B,7/10/2023,Accidental Death or Injury,12014B,Post-mortem Obex and RLN,7/10/2023,Obex and RLN Not Detected,,,,
03HNQ,White-Tailed Deer,M,5/28/2021,Transferred,11/4/2021,13647B,Death,12/9/2023,,,12/9/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,12/11/2023,Obex and RLN Not Detected,Ante-mortem Rectal,10/6/2023,10953B,Not detected
03HV1,White-Tailed Deer,F,7/1/2021,Transferred,11/4/2021,13647B,Death,3/28/2022,,,3/28/2022,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,3/28/2022,"Obex Location, RLN Not Detected",,,,
03YV9,White-Tailed Deer,F,6/2/2021,Transferred,11/2/2022,3496B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
03YWC,White-Tailed Deer,F,6/6/2021,Transferred,11/2/2022,3496B,Death,1/21/2023,,,1/21/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/24/2023,Obex and RLN Not Detected,,,,
043M2,White-Tailed Deer,F,6/2/2021,Transferred,3/29/2022,12014B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
043M3,White-Tailed Deer,F,6/2/2021,Transferred,3/29/2022,12014B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
043NM,White-Tailed Deer,M,6/1/2022,Transferred,10/18/2022,12014B,,,,,,,,,,,Ante-mortem Rectal,10/6/2023,10953B,Not detected
046T7,White-Tailed Deer,F,5/30/2022,Transferred,4/24/2023,2420B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
046TQ,White-Tailed Deer,F,5/31/2022,Transferred,3/7/2023,2420B,Death,7/24/2023,,,7/24/2023,Culled for CWD Testing,10953B,Post-mortem Obex and RLN,7/24/2023,Obex and RLN Not Detected,,,,
047NG,White-Tailed Deer,F,5/30/2021,Transferred,4/28/2022,4881B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
047NJ,White-Tailed Deer,F,5/30/2021,Transferred,4/28/2022,4881B,Death,1/1/2023,,,1/1/2023,Accidental Death or Injury,10953B,Post-mortem Obex and RLN,1/6/2023,Obex and RLN Not Detected,,,,
047NL,White-Tailed Deer,F,5/30/2021,Transferred,4/28/2022,4881B,,,,,,,,,,,Ante-mortem Rectal,9/27/2023,10953B,Not detected
0495R,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,20487R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
0495T,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,9/16/2024,24892R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
0495V,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Death,6/14/2022,,,6/14/2022,EHD - Blue Tongue Disease,10953B,Post-mortem Obex and RLN,6/16/2022,Obex and RLN Not Detected,,,,
0495W,White-Tailed Deer,M,6/29/2021,Birth,6/29/2021,,Transferred,8/31/2024,24571R,R,,,,,,,Ante-mortem Rectal,7/26/2024,10953B,Not detected
