UNIQUE_NUMBER,Years_Present,TESTING_DATE
070T6,2023,10/6/2023
070T6,2024,10/6/2023
070T7,2023,NA
070T7,2024,NA
070T8,2023,NA
070T8,2024,NA
070T9,2023,NA
070T9,2024,NA
070TB,2023,10/22/2024
070TB,2024,10/22/2024
070TC,2023,NA
070TC,2024,NA
070TF,2023,NA
070TF,2024,NA
070TG,2023,NA
070TG,2024,NA
070TH,2023,5/9/2024
070TH,2024,5/9/2024
070TJ,2023,NA
070TJ,2024,NA
070TK,2023,NA
070TK,2024,NA
070TL,2023,NA
070TL,2024,NA
070TM,2023,NA
070TM,2024,NA
070TN,2023,NA
070TN,2024,NA
070TP,2023,NA
070TP,2024,NA
070TQ,2023,NA
070TQ,2024,NA
070TR,2023,NA
070TR,2024,NA
070TT,2023,NA
070TT,2024,NA
070TV,2023,NA
070TV,2024,NA
070TW,2023,7/24/2024
070TW,2024,7/24/2024
0FE6,2020,1/6/2023
0FE6,2021,1/6/2023
0FE6,2022,1/6/2023
0GAQ,2016,NA
0GAQ,2017,NA
0GAQ,2018,NA
0GAQ,2019,NA
0GAR,2016,NA
0GAR,2017,NA
0GAR,2018,NA
0GAR,2019,NA
0GAT,2016,NA
0GAT,2017,NA
0GAT,2018,NA
0GAT,2019,NA
0GAV,2016,2/29/2024
0GAV,2017,2/29/2024
0GAV,2018,2/29/2024
0GAV,2019,2/29/2024
0GAV,2020,2/29/2024
0GAW,2016,NA
0GAW,2017,NA
0GAW,2018,NA
0GAW,2019,NA
0GAX,2016,NA
0GAX,2017,NA
0GAX,2018,NA
0GAX,2019,NA
0GAY,2018,7/1/2021
0GAY,2019,7/1/2021
0GAY,2020,7/1/2021
0GAY,2021,7/1/2021
0GBA,2016,NA
0GBA,2017,NA
0GCA,2016,NA
0GCA,2017,NA
0GCA,2018,NA
0GCA,2019,NA
0GFA,2016,2/28/2019
0GFA,2017,2/28/2019
0GFA,2018,2/28/2019
0GGA,2016,NA
0GGA,2017,NA
0GGA,2018,NA
0GGA,2019,NA
0GHA,2016,NA
0GHA,2017,NA
0GHA,2018,NA
0GHA,2019,NA
0GJA,2016,NA
0GJA,2017,NA
0GJA,2018,NA
0GJA,2019,NA
0GKA,2016,NA
0GKA,2017,NA
0GKA,2018,NA
0GKA,2019,NA
0GLA,2016,NA
0GLA,2017,NA
0GLA,2018,NA
0GLA,2019,NA
0GMA,2016,NA
0GMA,2017,NA
0GMA,2018,NA
